X,Depth,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11
89.25,8.6,186.71,201.32,196.19,189.19,192.77,191.5,185.15,189.03,210.66,202.29,194.18
90.75,8.6,179.89,200.14,187.3,182.01,185.52,183.39,182.11,180.7,196.86,186.93,188.97
92.25,8.6,178.22,198.2,181.85,178.61,182.93,180.58,184.63,178.87,190.11,178.96,187.15
93.75,8.6,170.49,189.36,175.64,177.02,181.9,179.31,184.95,179.52,182.46,172.02,185.28
95.25,8.6,156.3,169.37,163.75,175.08,180.97,178.4,179.73,178.02,169.63,160.95,180.1
96.75,8.6,139.16,145.53,148.25,172.4,178.43,175.14,172.43,172.1,153.04,145.64,170.85
98.25,8.6,123.79,125.43,132.53,167.86,173.82,168.16,165.53,164.35,137.97,131.83,161.47
99.75,8.6,112.39,111.72,121.27,158.92,164.33,155.72,156.5,154.21,128.57,122.88,152.23
101.25,8.6,103.73,101.49,111.93,139.46,144.74,135.31,137.96,136.12,123.44,115.63,136.64
102.75,8.6,88.35,86.55,94.81,106.85,111.6,103.83,106.49,105.23,110.78,99.11,107.37
104.25,8.6,60.84,60.34,65.05,66.82,70.41,65.63,67.23,67.01,79.06,68.13,68.6
105.75,8.6,32.25,32.36,34.49,33.82,35.85,33.8,34.61,34.98,40.92,35.86,35.25
107.25,8.6,16.09,16.37,17.2,17.08,17.94,17.46,17.95,18.36,18.32,17.73,17.99
108.75,8.6,12.62,12.99,13.13,13.6,13.78,14.14,14.69,14.97,11.8,13.37,14.42
110.25,8.6,22.3,22.54,21.7,22.64,21.94,23.64,24.88,24.82,17.22,21.92,24.14
111.75,8.6,60.98,58.26,55.08,57.08,53.61,58.95,63.03,61.16,43.49,55.22,60.64
113.25,8.6,145.48,126.07,123.48,130.14,121.74,131.87,145.61,135.73,107.54,121.57,135.4
114.75,8.6,242.2,196.17,205.38,215.89,207.96,216.22,244.55,222.56,208.7,200.92,219.67
116.25,8.6,260.16,214.76,240.07,242.31,244.16,243.36,273.34,252.64,278.85,236.7,243.4
117.75,8.6,195.28,171.6,199.68,195.35,203.94,198.36,217.68,207.16,248.89,199.14,193.46
119.25,8.6,125.03,117.11,137.48,134.72,143.12,138.17,147.5,143.57,174.27,138.01,130.6
120.75,8.6,81.69,78.81,91.63,92.47,98.65,95.09,99.86,97.35,115.03,91.59,87.18
122.25,8.6,61.17,59.45,66.99,70.48,75.09,72.05,75.41,73.4,82.46,67.28,65.62
123.75,8.6,54.78,52.29,57.84,61.95,65.96,62.76,66.86,64.25,68.45,57.74,58.27
125.25,8.6,56.07,52.56,57.61,61.31,65.38,62.45,66.71,64.44,65.12,57.42,60.09
126.75,8.6,60.74,55.84,61.85,64.61,68.58,66.15,70.1,68.45,67.16,61.16,65.42
128.25,8.6,67.08,60.52,67.88,69.3,73.46,71.55,74.73,73.34,72.63,66.73,71.12
129.75,8.6,74.35,66.64,74.87,74.72,79.03,77.03,78.93,78.38,81.05,73.97,76.35
131.25,8.6,82.69,74.21,82.89,80.35,85.3,82.27,82.96,82.81,91.93,81.86,80.61
132.75,8.6,89.18,82.56,90.27,86.15,92.07,87.83,86.15,87.38,103.44,89.63,84.72
134.25,8.6,92.58,88.56,95.55,91.3,97.69,92.32,88.93,90.53,112.92,94.93,87.42
135.75,8.6,92.22,91.55,96.62,94.19,100.39,94.64,89.54,91.6,116.96,96.75,88.85
137.25,8.6,88.89,90.51,93.31,93.54,98.68,92.78,87.12,89.15,113.75,93.87,87.68
138.75,8.6,86.5,89.17,89.56,92.24,96.39,90.59,85.18,86.96,108.34,90.62,86.66
140.25,8.6,87.31,89.71,88.03,93.16,95.94,90.59,85.72,87.44,104.03,89.33,87.63
141.75,8.6,88.57,90.75,87.47,95,96.2,91.9,87.2,89.27,100.52,88.78,89.4
143.25,8.6,88.08,90.07,86.52,95.4,95.15,92.37,87.41,89.84,96.79,87.25,89.75
144.75,8.6,86.87,87.88,85.16,93.55,92.29,91.13,85.95,88.26,92.95,85.1,88.03
146.25,8.6,84.38,85.63,83.53,89.35,87.75,87.82,82.46,84.69,89,83.13,84.58
147.75,8.6,83.4,83.6,82.22,84.76,83.29,83.92,80.22,80.54,85.55,81.66,80.88
149.25,8.6,84.87,84.21,82.52,83,81.91,82.67,80.71,80.26,85.31,83.38,81.11
150.75,8.6,89.57,87.67,86.4,85.93,85.16,85.79,85.16,84.8,90.06,88.51,85.87
152.25,8.6,98.34,94.25,93.88,93.67,93.56,94.36,94.85,94.34,99.82,96.71,95.05
153.75,8.6,111.3,105.59,105.6,107,107.43,108.49,109.71,109.8,114.56,109.33,109.38
155.25,8.6,126.02,120.57,121.39,123.22,124.55,125.52,126.09,127.6,131.66,124.69,125.02
156.75,8.6,140.78,137.16,138.96,138.44,140.6,141.63,140.17,142.6,146.62,139.81,137.31
158.25,8.6,146.84,143.7,145.82,142.85,144.53,145.71,144.1,144.62,148.67,144.07,138.18
159.75,8.6,140.52,140,140.52,133.74,134.07,134.59,131.62,131.11,134.57,136.94,124.97
21.75,10.13,215.56,288.35,306.39,518.36,383.34,437.85,323.44,369.76,280.01,323.57,424.99
23.25,10.13,264.41,316.17,346.52,568.99,409.14,496.64,386.05,406.02,305.78,351.07,474.46
24.75,10.13,283.59,318.48,344.21,565.71,385.61,500.51,398.06,402.79,304.5,353.69,470.23
26.25,10.13,272.21,293.27,303.04,513.86,322.6,460.86,374.92,372.31,277.95,328.31,422.61
27.75,10.13,237.33,244.54,236.25,422.62,240.64,387.8,333.88,327.22,225.94,270.33,345.33
29.25,10.13,189.85,194.35,170.94,317.59,170.02,299,280.96,272.88,166.77,204.78,258.98
30.75,10.13,151.68,164.66,125.31,231,121.6,221.48,226.45,217.61,120.2,154.72,186.34
32.25,10.13,128.91,149.26,96.88,165.71,92.43,160.88,176.06,165.87,86.82,119.15,129.8
33.75,10.13,118.62,143.46,78,119.61,74.96,117.3,140.01,129.95,65.33,98.54,97.03
35.25,10.13,118.17,140.56,67.93,95.48,62.91,94.38,114.43,103.71,50.94,94.14,92.14
36.75,10.13,124.06,147.34,69.83,92.53,59.17,94.02,99.26,91.79,43.24,97.87,93.02
38.25,10.13,130.46,157.05,77.88,92.27,65.94,94.81,95.23,89.39,41.25,103.75,98.3
39.75,10.13,129.67,176.85,95.93,93.73,78.27,99.47,108.01,97.07,43.94,113.36,110.11
41.25,10.13,141.69,202.8,115.08,100.88,99.77,108.43,154.92,112.73,57.49,139.27,128.17
42.75,10.13,166.92,217.34,136.6,113.6,126.58,122.59,169.66,121.28,96.85,176.22,150.23
44.25,10.13,194.23,253.8,160.46,131.09,142.48,138.33,162.06,123.3,156.52,193.83,151.64
45.75,10.13,231.08,269.66,169.6,131.17,144.74,133.95,141.38,120.44,209.45,194.44,141.17
47.25,10.13,236.3,264.38,183.47,119.72,126.87,119.69,131.79,112.67,220.56,184.26,128.79
48.75,10.13,219.99,240.99,178.08,112.01,115.75,109.37,127.87,115.54,190.73,164.92,119.4
50.25,10.13,199.64,211.6,165.94,107.12,112.45,102.98,125.41,115.1,144.27,151.6,121.83
51.75,10.13,185.58,199.34,165.86,115.64,117.63,109.17,132.36,124.01,113.21,137.51,131.45
53.25,10.13,193,223.01,182.17,131.04,138.98,122.02,149.25,143.79,108.21,140.96,155.52
54.75,10.13,240.16,279.2,225.14,163.66,175.86,152.88,185.75,181.62,131.8,176.43,198.64
56.25,10.13,312.54,371.82,302.13,219.21,239.25,206.42,249.11,241.13,181.4,246.06,263.04
57.75,10.13,375.18,452.15,355.24,276.99,304.35,264,318.23,297.44,224.93,308.62,312.63
59.25,10.13,349.53,395.24,308.21,269.42,292.66,264.33,330.8,283.18,208.65,283,278.25
60.75,10.13,212.7,213.22,181.54,170.87,184.97,174.44,247.21,184.24,134.97,165.38,162.18
62.25,10.13,94.65,85.28,82.91,75.03,80.29,80.44,132.1,89.94,65.27,73.7,70.77
63.75,10.13,38.43,33.01,35.99,28.42,29.82,31.36,54.9,38.07,27.07,31.58,28.45
65.25,10.13,16.62,14.63,17.21,11.56,12.09,12.82,21.16,16.13,11.54,15.12,12.52
66.75,10.13,9.2,8.66,10.43,6.65,7.07,7.21,9.9,8.67,6.83,9.55,7.49
68.25,10.13,8.52,8.23,9.89,6.86,7.62,7.07,7.59,7.39,7.94,9.53,7.51
69.75,10.13,13.15,13.13,15.48,12.28,14.58,12.11,11.08,11.43,15.9,15.02,12.79
71.25,10.13,26.68,27.23,30.82,28.88,35.9,27.96,24.33,26.3,38.26,30.02,30.1
72.75,10.13,57.06,60.28,64.39,70.46,87.19,68.05,59.87,64.93,89.6,62.16,74.54
74.25,10.13,116.24,128.77,128.78,157.89,190.52,152.87,138.56,149.12,188.13,121.3,168.58
75.75,10.13,214.6,248,236.56,311.38,363.43,303.72,283.45,300.44,343.43,216.19,330.79
77.25,10.13,327.24,381.5,362.46,487.4,550.28,482.3,455.86,474.68,516.78,326.07,502.42
78.75,10.13,425.58,480.22,469.75,624.21,683.31,626.66,595.47,607.76,671.1,425.32,612.34
80.25,10.13,478.32,513.1,519.29,665.51,711.63,675.65,640.5,647.36,766.94,485.16,622.24
81.75,10.13,484.92,486.63,507.84,612.45,643.16,625.25,593.53,595.54,777.96,493.4,553.52
83.25,10.13,454.02,435.94,457.87,513.07,530.61,524.88,497.96,503.59,706.69,465.65,462.54
84.75,10.13,401.64,379.26,398.59,414.48,421.8,421.81,401.9,410.44,582.76,416.94,380.71
86.25,10.13,351.64,342.03,351.33,345.91,346.91,350.54,334.42,345.12,459.59,371.1,330.35
87.75,10.13,317.45,326.52,322.54,310.94,306.36,312.4,299.37,308.45,371.34,336.61,308.08
89.25,10.13,296.36,321.83,303.46,293.91,286.62,293.74,282.47,289.15,315.1,311.26,300.27
90.75,10.13,281.17,318.2,288.95,283.95,275.27,282.36,274.59,276.47,278.51,289.78,295.11
92.25,10.13,265.96,305.05,272.21,273.47,265.86,272.44,267.52,265.75,251.34,269.7,287.42
93.75,10.13,240.84,277.79,249.89,259.6,253.93,259.19,253.51,252.61,225.07,246.11,273.07
95.25,10.13,208.33,236.31,219.81,240.81,237.97,241.76,230.95,233.59,196.29,216.73,250.24
96.75,10.13,173.69,191.62,186.31,217.75,216.91,218.54,204.34,208.04,166.6,183.68,220.34
98.25,10.13,141.8,152.25,152.85,189.58,190.24,188.74,176.11,178.8,139.37,152.64,187.94
99.75,10.13,114.02,120.11,123.23,155.76,156.95,152.81,144.91,146.56,115.96,125.44,154.21
101.25,10.13,88.9,92.02,95.52,116.2,117.79,113.39,109.19,110.63,93.96,99.01,117.09
102.75,10.13,63.34,65.08,67.46,76.76,78.28,75.16,73.5,74.32,69.63,70.69,78.8
104.25,10.13,39.36,40.25,41.67,44.8,45.96,44.29,44.07,44.51,44.15,43.84,46.67
105.75,10.13,22.27,22.51,23.42,24.66,25.31,24.71,25.17,25.4,24.19,24.49,25.91
107.25,10.13,14.18,14.11,14.66,15.7,15.89,15.96,16.73,16.8,13.91,15.12,16.53
108.75,10.13,14.07,13.71,13.95,15.27,15.01,15.68,16.9,16.71,11.91,14.14,16.06
110.25,10.13,24.4,22.97,22.79,24.84,23.72,25.52,28.11,27.17,18.41,22.82,26.11
111.75,10.13,57.46,51.4,50.67,54.22,50.94,55.34,61.95,58.59,41.76,50.43,56.87
113.25,10.13,131.34,110.66,111.89,117.86,111.08,119.22,135.84,125.68,99.85,110.79,122.78
114.75,10.13,231.88,187.69,200.28,207.41,200.29,208.83,240.57,220.17,200.57,198.59,214.11
