X,Depth,R1,R2,R3,R4,R5,R6,R7,R8,R9
101.25,1.13,747.03,722.34,743.23,760.55,801.91,765.12,731.33,707.39,644.13
102.75,1.13,770.39,716.17,797.6,780.04,796.81,809.47,714.79,691.85,654.18
104.25,1.13,449.5,388.01,468.19,427.11,435.33,446.31,446.5,450.15,394.04
105.75,1.13,153.83,166.13,156.22,157.14,153.98,130.14,135.29,137.93,128.36
107.25,1.13,156.37,175.83,162.79,168.7,139.45,163.7,172.44,149.25,182.57
108.75,1.13,97.55,87.2,92.41,88.34,84.05,108.43,109.18,101.92,94.91
110.25,1.13,24.73,32.22,25.8,34.27,29.4,23.9,23.44,23.99,25.64
111.75,1.13,586.32,531.18,569.75,632.44,418.72,560.69,479.65,524.25,512.19
113.25,1.13,49.2,39.48,47.91,49.37,35.69,45.61,35.89,35.2,40.22
114.75,1.13,131.48,151.92,127.14,111.62,151.24,171.29,191,182.77,184.78
116.25,1.13,668.55,672.2,660.08,805.7,570.48,613.97,580.14,568.93,626.07
117.75,1.13,621.2,629.97,642.54,590.72,629.45,583.98,672.95,647.71,650.14
119.25,1.13,339.65,321.66,339.02,313.36,368.93,343.8,378.59,374.19,374.53
120.75,1.13,283.09,284.83,285.65,282.64,311.89,312.46,282.1,286.82,245.72
122.25,1.13,162.21,159.46,159.79,163.88,170.9,166.77,154.84,159.5,145.51
123.75,1.13,62.81,62.76,64.07,64.62,67.74,63.13,64.42,66.86,68.89
125.25,1.13,109.68,108.08,110.06,109.27,109.11,106.43,105.35,105.87,98.91
126.75,1.13,25.83,24.73,25.8,25.3,27.53,27.02,26.56,26.77,27.37
128.25,1.13,336.62,340.77,340,343.82,315.93,305.29,293.12,310.06,305.39
129.75,1.13,500.27,498.49,502.67,496.76,474.87,449.03,433.6,451.85,435.46
131.25,1.13,204.38,209.83,214.04,203.65,230.12,217.63,213.71,212.42,220.71
132.75,1.13,59.73,58.78,59.76,61.31,64.2,63.81,61.32,63.32,62.61
134.25,1.13,23.16,23.95,23.72,23.14,23.11,22.96,23.2,23.43,23.04
135.75,1.13,77.88,78.85,77.18,77.61,73.36,78.8,79.99,75.84,79.27
137.25,1.13,46.48,45.8,46.29,48.46,46.01,44.81,44.45,45.2,45.06
138.75,1.13,32.2,31.69,31.66,30.84,33.06,34.32,34.34,34.6,34.87
140.25,1.13,434.02,439.21,438.32,444.66,435.83,444.19,444.04,444.34,437.45
141.75,1.13,626.27,619.36,622.48,613.44,587.9,598.86,594.72,597.54,577.42
143.25,1.13,210.19,210.17,209.41,205.29,213.66,215.51,212.87,215.77,217.68
144.75,1.13,235.56,238.27,234.7,232.91,231.32,233.7,237.28,231.16,246.96
146.25,1.13,651.63,668.49,657.3,649.23,645.21,641.93,642.49,633.74,643.51
147.75,1.13,447.73,441.51,441.42,446.66,431.04,436.45,431.87,426.51,446.5
149.25,1.13,825.13,821.74,812.87,845.31,876.56,880.42,872.66,856.48,772.32
150.75,1.13,773.17,781.76,762.58,790.05,731.85,752.98,755.14,719.32,665.74
