X,Depth,R1,R2,R3,R4,R5,R6,R7
168.75,1.91,1110.5,1038.5,1048.2,1040.6,1017.7,1079.9,1066.6
170.25,1.91,1177.2,928.88,1028.4,922.15,1094.6,1104.5,989.16
171.75,1.91,392.39,406.58,351.39,405.43,350.11,362.64,413.23
173.25,1.91,101.36,102.81,97.42,104.45,101.26,95.38,100.79
174.75,1.91,71.82,75.52,79.28,78.51,72.63,76.31,78.84
5.25,2.78,19.47,21.05,22.85,17.92,23.15,17.74,21.58
6.75,2.78,8.14,8.13,8.95,6.32,7.47,8.52,7.19
8.25,2.78,5.31,31.03,10.75,7.4,17.39,25.34,6.9
9.75,2.78,3.05,17.54,17.4,7.2,10.97,14.61,11.68
11.25,2.78,7.47,5.43,5.34,4.64,4.71,4.89,5.88
12.75,2.78,11.28,4.48,3.98,4.68,8.3,6.09,6.83
14.25,2.78,11.14,4.72,3.44,5.03,33.81,6.84,9.98
15.75,2.78,9.44,10.26,6.12,8.44,48.59,9.78,21.41
17.25,2.78,11.08,88.67,47.33,20.53,68.75,26.72,20.64
18.75,2.78,244.01,143.08,279.95,370.48,50.85,224.37,320.98
20.25,2.78,983.76,104.84,405.14,678.09,495.1,524.25,446.03
21.75,2.78,563.04,261.7,286.12,344.79,311.39,304.74,152.34
23.25,2.78,135.75,182.23,152.82,135.33,150.72,168.77,93.63
24.75,2.78,146.39,133.16,191.41,117.57,141.38,231.24,77.45
26.25,2.78,317.33,244.81,359.43,211.79,230.99,333.05,129.01
27.75,2.78,529.61,288.3,642.98,534.91,523.01,406.24,291.82
29.25,2.78,754.6,385.46,996.38,1239.8,1061.9,728.73,931.44
30.75,2.78,246.62,385.2,286.65,528.04,388.4,308.52,199.46
32.25,2.78,146.94,205.31,117.43,154.07,108.69,203.64,131.13
33.75,2.78,310.25,385.62,268.24,383.12,234.44,433.7,407.24
35.25,2.78,681.11,590.7,552.51,867.4,507.47,736.54,860.67
36.75,2.78,555.23,413.48,572.14,1019,522.26,870.54,783.14
38.25,2.78,732.75,783.61,605.26,1350,578.01,888.36,792.78
39.75,2.78,209.36,481.97,420.79,327.47,452.76,397.33,215.04
