X,Depth,R110,R111,R112,R113,R114,R115,R116,R117,R118,R119
80.25,15.72,560.53,388.62,407.44,351.66,364.23,339.42,396.06,396.12,370.38,283.27
81.75,15.72,641.4,641.4,657.88,528.41,598.43,578.06,668.72,635.12,593.45,481.11
83.25,15.72,688.91,906.79,896.79,681.41,837.51,868.31,984.46,860.58,808.98,713.66
84.75,15.72,708.68,1131.1,1071.4,777.28,1023.2,1181.3,1302.9,1015.7,968.52,942.57
86.25,15.72,704.61,1258.1,1156.2,809.89,1115.2,1482.8,1572.1,1076.4,1045,1114.1
87.75,15.72,673.4,1265.2,1152.7,783.88,1109.7,1708.3,1738.3,1035.8,1031.9,1184.6
89.25,15.72,614.24,1159,1064.4,711.94,1018.6,1770.9,1733.8,923.09,950.11,1134
90.75,15.72,533.46,974.89,910.93,609.87,870.83,1616.6,1531.6,767.1,811.96,976.03
92.25,15.72,441.02,761.74,723.51,495.94,690.56,1294.5,1198.9,593.94,650.47,766.58
93.75,15.72,347.66,555.67,537.27,384.81,514.26,924.15,847.09,431.55,491.26,554.7
95.25,15.72,262.14,384.97,380.95,287.01,364,606.1,558.3,299.32,352.6,376.32
96.75,15.72,189.31,256.95,261.71,206.08,248.1,376.79,352.36,203.27,243.27,243.52
98.25,15.72,130.25,167.09,177.51,141.86,165.27,227.61,216.42,136.43,163.51,153.46
99.75,15.72,84.52,106.71,119.55,94.34,108.07,136.1,130.8,91.08,108.44,95.77
101.25,15.72,51.05,67.32,80.15,61.61,70.01,81.02,78.67,61.1,71.31,60.07
102.75,15.72,28.78,42.75,54.12,40.89,45.64,48.82,48.23,41.91,47.32,38.31
104.25,15.72,15.89,28.45,38.15,29.2,31.22,31.2,31.49,30.46,33.13,25.94
105.75,15.72,9.61,21.62,30.15,24.28,24.34,23.26,23.85,25.38,26.52,20.52
107.25,15.72,7.58,21,29.24,25.25,23.94,22.38,23.18,26.67,26.3,21.05
108.75,15.72,9.01,27.52,37.23,33.79,31.09,29.31,30.21,36.8,33.89,29.07
110.25,15.72,15.97,46.99,61.04,56.84,51.98,50.82,50.71,64.53,55.98,52.04
111.75,15.72,36.99,95.99,119.25,110.91,103.56,105.85,100.88,132.69,109.51,110.36
113.25,15.72,95.39,210.25,247.89,225.06,220.33,236.6,213.58,283.72,227.65,249.21
114.75,15.72,237.95,431.16,472.02,416.24,436.37,494.26,420.64,546.59,439.52,526.16
116.25,15.72,500.44,701.41,691.28,606.34,682.03,799.2,654.55,805.9,670.91,884.22
117.75,15.72,785.28,796.9,700.98,638.66,743.7,859.6,712.47,822.93,722.23,1026.2
119.25,15.72,870.49,641.19,518.99,507.44,580.71,633.9,554.71,617,565.68,823.11
120.75,15.72,726,421.12,327.62,348.52,376.87,384.04,357.98,396.04,370.88,528.1
122.25,15.72,514.96,262.57,202.07,234.61,234.86,228.16,223.36,247.07,233.84,319.35
123.75,15.72,352.42,171.15,131.91,166.83,154.42,146.56,147.9,162.43,154.84,202.49
125.25,15.72,250.59,122.31,94.98,128.71,111.76,106.06,108.09,116.86,112.57,141.05
126.75,15.72,190.94,97.79,76.83,106.84,90.5,86.8,88.46,93.89,91.28,109.57
128.25,15.72,156.05,87.66,70.54,93.61,81.87,79.77,81.05,84.82,82.85,95.09
129.75,15.72,134.88,87.61,73.17,84.96,82.21,81.41,82.2,85.29,83.17,90.82
131.25,15.72,120.93,95.2,83.67,78.99,89.5,89.84,90.03,93.39,89.97,93.34
132.75,15.72,111.01,108.61,102.02,75.1,102.23,103.96,103.13,106.93,101.82,99.63
134.25,15.72,103.06,123.2,124.6,72.26,116.19,119.84,117.72,119.73,115.24,105.81
135.75,15.72,96.26,130.62,140.58,69.74,124.01,129.43,126.4,124.81,123.04,108.07
137.25,15.72,90.36,124.35,137.21,66.96,119.61,123.96,122.35,117.16,116.83,102.28
138.75,15.72,85.87,107.71,117.89,64.52,105.09,108.53,107.74,100.86,102.25,91.11
140.25,15.72,82.6,88.39,93.46,63.5,87.73,90.59,90.34,83.16,85.92,78.51
141.75,15.72,81.81,75.83,76.97,66.5,76.13,79.25,79.73,71.68,75.19,70.76
143.25,15.72,84.74,76.88,76.33,78.77,77.12,83.01,84.69,72.22,77.2,73.47
